,id,payment score
0,d4b0950c35876d6cbfadda4f8507142e59142afd0dd17318469803c6f525bbcc,396.559
1,8e5bbad89cf65f8b2dafea82428cd5991e2d734d6faaededa61932568a984990,434.538
2,4a6d48561565e1a39c3f59970a4c559ccb2e55f7f3a3c4f4b9eba3c071e52d56,2.663
3,cebd1818d73b7057c21a8d495bc454a4c95dd63216b4efad0cacaeaef7e8c372,81.587
4,b0d7ef4144d6052689bd4fefb413cf88782af128dcb7c5f91a5249fe9080968b,324.648
5,54d580e67392feb7349a27327ae6ecaaf0e55ccdef14d0dcb10ee4f154886443,108.092
6,6a4e27cc57abdadf8ee3974a9f8e5f4e44d47f3ee93f93c3933365cdca51818d,75.087
7,53b4d766634ca013540d696d222711afd3640111b135379a60a01774f521cc17,23.364
8,c36bfb75106c3c6cc6ba4f8dd61558ed3390c821a4245d004726565bd000fa1a,37.819
9,7a31de711b81209036695b924907ac6fa4a7580c3c18ff1a233371dcff6049d3,99.285
10,e0420497ea25d400cd6337359d7b33e197a9a6d56accfc1a51f76400124329c2,348.946
11,68b057f2b8dfb648c9037f29d7ce26782ee82ce69206bf24b4291db4cc005c40,682.748
12,1cacdb76ee5e9e20a1a202d7bd4f0094a34b1720afb2260bcf34779ab81f22af,293.2179000000001
13,d640ac8ea0f5c3f1bf33324d708bbb0178b2b65ee2618ca7007fd55215cfd12a,718.3200055555558
14,9686bc98bdaa334c6bfab093dbdc8d238126371c47cebc384bdcf25adfcda384,109.511
15,fd30e7af9a60934bfd60e74dc56c233dc15a9e7a62595147c0bb66e49dd78d5f,295.824
16,ca6a09bcb4b2d3b1b978c36222904678a3aa6cb91964f50f92128a892479b755,76.992
17,c30ab6e7f0e8612dc9ded50bcc4b408d9cbba9dfd4b848b21d47d4fdc467424e,17.9835
18,afb3e93cd73fa76bf602f477491107afa3e2a0c7b1f898b18b2afe33c028bfa3,167.638
19,ab51beafe43763d90f19121aa3db646d79cbdb8c1041cc29d432c7cef5ee3867,293.5842761904762
20,984c40019416e33d9ef304c7f94aa1792e7ee8bd4c94d592ae1fec5184df0286,35.512
21,a2e4f83e77571a3a7d668092fdbdb6d607e9a8569cfb32201c8dfee6e4d89e08,201.329
22,8e58eaa352aeed512a393d37b8e54053cae3fe2d03bb545083e6ef8c802895d3,48.342
23,bba31edf7cd29fc781d711ad611e09cb61daea10ceb4203950aa0c0e7be64eea,289.089
24,409391b09999413e27bb30d6e2bb3d9464cf789d9a00e0cefc581e75f1160b2d,201.834
25,b85ecbd9142f3c482af166be66ccdeb263c988e49c6cf29aeb4546bba1b59e9c,162.74285
26,64688d53c766fc05ca044889aad1e65d8a5fc93bd2b71a396b39cc8f596d8bb1,48.965
27,9dc35a8407310d2cce39154e809d5d9adca23f607e73dd65d7f7d9405e9d4d19,349.351
28,21a0d387bc748adc0eb24c308052d8442b06f2babee9155726c1ac8fdced4c83,346.6515
29,3535d9be72c3e4dffe03dd163a01ace2926de273132497146364a31dae1826c7,290.472
30,ce804be358a5181680bc16c6b0fabf2952547625240a3319799a52cb0702023c,60.622
31,5db7a5d3042a3fca82d6283e786de752afa48f2081fdc76502931c1ba236207f,515.084
32,734aa063cc540cd55aacdbc835d7520d048483e87eea9a1dff93440f684a68c1,35.868
33,1a45939a3ee49961174553f83e11dc2963ac6fe4b9a546edd5466c0dac20daf8,44.62
34,a996aed255922803262227573f818bbfc586ffb895a28b4fc053f81d6f9a68b5,272.916
